tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2022-520,Roland Garros,Clay,128,G,20220523,100,104925,1,,Novak Djokovic,R,188,SRB,35.0034223135,106415,,,Yoshihito Nishioka,L,170,JPN,26.6529774127,6-3 6-1 6-0,5,R128,,,,,,,,,,,,,,,,,,,,1,8660,99,654
2022-520,Roland Garros,Clay,128,G,20220523,101,144684,,,Alex Molcan,L,,SVK,24.4736481862,105948,,,Federico Coria,R,,ARG,30.2039698836,6-3 6-4 3-6 6-3,5,R128,,,,,,,,,,,,,,,,,,,,38,1163,54,967
2022-520,Roland Garros,Clay,128,G,20220523,102,105379,,,Aljaz Bedene,R,181,SLO,32.8459958932,106331,WC,,Christopher Oconnell,R,183,AUS,27.9698836413,6-2 6-4 6-7(5) 6-1,5,R128,,,,,,,,,,,,,,,,,,,,195,291,117,524
2022-520,Roland Garros,Clay,128,G,20220523,103,104655,,,Pablo Cuevas,R,180,URU,36.3887748118,202385,31,,Jenson Brooksby,R,,USA,21.5715263518,6-2 6-1 6-2,5,R128,,,,,,,,,,,,,,,,,,,,149,418,34,1207
2022-520,Roland Garros,Clay,128,G,20220523,104,105777,18,,Grigor Dimitrov,R,188,BUL,31.0198494182,106218,,,Marcos Giron,R,180,USA,28.8295687885,6-1 6-1 6-1,5,R128,,,,,,,,,,,,,,,,,,,,21,1740,49,1011
2022-520,Roland Garros,Clay,128,G,20220523,105,106432,,,Borna Coric,R,188,CRO,25.5195071869,126535,,,Carlos Taberner,R,,ESP,24.7885010267,3-6 6-2 6-3 6-1,5,R128,,,,,,,,,,,,,,,,,,,,279,183,85,720
2022-520,Roland Garros,Clay,128,G,20220523,106,144719,,,Jaume Munar,R,183,ESP,25.0485968515,127157,,,Daniel Altmaier,R,,GER,23.6933607118,6-1 6-3 4-6 6-3,5,R128,,,,,,,,,,,,,,,,,,,,87,710,53,970
2022-520,Roland Garros,Clay,128,G,20220523,107,106043,15,,Diego Schwartzman,R,170,ARG,29.7659137577,105723,Q,,Andrey Kuznetsov,R,185,RUS,31.2470910335,6-3 1-6 6-4 6-2,5,R128,,,,,,,,,,,,,,,,,,,,16,2505,228,237
2022-520,Roland Garros,Clay,128,G,20220523,108,200000,9,,Felix Auger Aliassime,R,193,CAN,21.787816564,122669,Q,,Juan Pablo Varillas,R,,PER,26.6283367556,2-6 2-6 6-1 6-3 6-3,5,R128,,,,,,,,,,,,,,,,,,,,9,3820,122,504
2022-520,Roland Garros,Clay,128,G,20220523,109,200116,Q,,Camilo Ugo Carabelli,R,,ARG,22.932238193,106234,,,Aslan Karatsev,R,185,RUS,28.7145790554,6-3 4-6 6-4 3-6 7-6(5),5,R128,,,,,,,,,,,,,,,,,,,,155,410,41,1128
